regime,asset,observations,annualized_mean,annualized_volatility,correlation_with_SPY,daily_1pct_return
calm,SPY,3288,0.12154915656188191,0.12776796341081686,1.0,-0.023233069598497958
calm,TLT,3288,0.03971562724590458,0.13632117897756454,-0.21852145525946637,-0.021418248330533844
calm,GLD,3288,0.08776117604951715,0.15907402755987343,0.11654259210004474,-0.026242445030508498
stress,SPY,900,0.24295692971637797,0.2758438495929457,0.9999999999999998,-0.04502329648560772
stress,TLT,900,0.020909074921425876,0.18900755696124746,-0.38157677155644726,-0.03016801502019598
stress,GLD,900,0.12213833512776193,0.19431947389057183,0.009739343001525331,-0.03390917007830017
