asset,annualized_volatility,max_drawdown,VaR_95_daily_loss,CVaR_95_daily_loss,VaR_99_daily_loss,CVaR_99_daily_loss
GLD,0.16774282560320836,-0.45555012734257017,0.016743394147789234,0.025282194151282626,0.02993528475756299,0.04194424076186841
SPY,0.17110909716667766,-0.33717287366708537,0.016508694745218502,0.026378058120789465,0.03077891845345007,0.04498105309420444
TLT,0.14917889765742198,-0.483511401012364,0.015010047067505902,0.02047218613878805,0.022874118947583958,0.030458492886396904
^VIX,1.2396710902116255,-0.8565727499514686,0.10819478424935397,0.1526969359350353,0.1781574368038409,0.2256413823594332
