expiration,maturity_years,a,b,rho,m,sigma,calendar_vertical_shift
2026-09-18,0.06023271731690623,-0.007063418820240135,0.05223810005108474,-0.040068322402919535,0.02089082638665788,0.14729606973566933,0.0
2026-11-20,0.2327173169062286,-0.011909834284654839,0.07857043116859644,-0.2635242381986881,0.023440583526756008,0.19855432629773498,0.0
2027-02-19,0.48186173853524983,-0.008197435142961815,0.0902602863501748,-0.4284634602428034,0.03762907620283184,0.18944603829296267,0.0
2027-08-20,0.9801505817932923,-0.0023977313025812987,0.10731365693015246,-0.5188655854400149,0.09143432972791717,0.21560610531714225,0.0
