start,success,function_evaluations,scaled_residual_sse,kappa,theta,vol_of_vol,rho,initial_variance,feller_slack
1,True,16,134.86783891665803,2.8460443157203597,0.055872853547752344,1.1091225453318794,-0.6798565797649966,0.016818950713748254,-0.9121195860781535
2,True,21,134.86850708045782,2.8457186148513625,0.055875519636680485,1.1090843424061245,-0.6798578657850298,0.016818909034249638,-0.9120560658812367
3,True,9,134.86794890322233,2.846146952002312,0.055871996577563116,1.109128730129608,-0.6798580252439363,0.01681889748390266,-0.9121267144758871
4,True,18,134.8682861776675,2.845751502090916,0.055875063452534846,1.1090782909365895,-0.6798565484538238,0.016818904919715057,-0.9120415639278738
5,True,21,134.86695819158015,2.8459091381169768,0.05587390452250232,1.1091200060375748,-0.6798516293653507,0.016819203284777942,-0.9121230768670602
