model,sample,quotes,price_rmse,iv_equivalent_rmse,iv_equivalent_mae,inside_empirical_noise_fraction
flat,holdout,24,50.28291084150455,0.044593975010438255,0.038267882518421205,0.08333333333333333
heston,holdout,24,5.446774699424396,0.014641578407573132,0.009033707509855745,0.5833333333333334
flat,train,76,49.91875995280222,0.041158484408177154,0.03606294496858641,0.18421052631578946
heston,train,76,4.326883562580404,0.014214440472554086,0.008123647285395458,0.5921052631578947
