date,gross_return,turnover,cost,net_return,weight_Mkt-RF,weight_SMB,weight_HML,weight_RMW,weight_CMA,weight_Mom
1973-07-31,-0.014304924225746946,0.5,0.0005,-0.014804924225746946,0.0558277195018083,0.09348764048805523,0.17000485678954405,0.4,0.21584340674459598,0.06483637647599645
1973-08-31,-0.002798551368747732,0.013667220927525977,1.3667220927525978e-05,-0.002812218589675258,0.059163449298583234,0.09876459982505875,0.16413550794218051,0.4,0.2208979385383435,0.057038504395834
1973-09-30,0.0009579431756885966,0.0007774980923611167,7.774980923611168e-07,0.0009571656775962356,0.059171251518684555,0.09826208777951338,0.16463274212686718,0.4,0.22062295249152775,0.057310966083407126
1973-10-31,0.0038582859193928964,0.0015238221142617574,1.5238221142617574e-06,0.0038567620972786345,0.05978050837889701,0.09797650830570621,0.16554730738091653,0.4,0.2204704054201934,0.05622527051428693
1973-11-30,-0.010542477859486315,0.0012702465733439652,1.2702465733439652e-06,-0.01054374810605966,0.06045708274148966,0.09791579987718836,0.16614097959166782,0.4,0.21937192722426982,0.05611421056538437
1973-12-31,0.0023591135801528107,0.007710535382830105,7.710535382830106e-06,0.0023514030447699804,0.055186210400989845,0.09547613683485805,0.16939755860777406,0.4,0.22137941949699583,0.05856067465938221
1974-01-31,0.013087634396157573,0.001889736625805341,1.8897366258053412e-06,0.013085744659531768,0.05537014176133165,0.09592972443427088,0.1685156533022372,0.4,0.22263163716304654,0.057552843339113736
1974-02-28,0.002729069619302674,0.009288409931801595,9.288409931801594e-06,0.0027197812093708723,0.05970124619443634,0.08979508577453765,0.16536188203016883,0.4,0.2241947023704042,0.06094708363045298
1974-03-31,0.012407816067833744,0.0030308292174624565,3.0308292174624565e-06,0.012404785238616281,0.059974017702385765,0.08951375556040067,0.16811993973968187,0.4,0.221594052204786,0.06079823479274571
1974-04-30,0.014570180233326065,0.0018493790932342762,1.8493790932342763e-06,0.014568330854232831,0.06077181642189354,0.08783285901179902,0.16899729676922073,0.4,0.2217682755489736,0.060629752248113046
1974-05-31,0.010015966364154433,0.0018691887009681385,1.8691887009681387e-06,0.010014097175453466,0.061486312203320834,0.0884239678519973,0.16956088084856324,0.4,0.22000897747378514,0.06051986162233331
1974-06-30,0.009593737851826344,0.007410659968391093,7.4106599683910926e-06,0.009586327191857952,0.06295552316272489,0.08970636059916912,0.17096491301674147,0.39258934003160906,0.2213313311739373,0.06245253201581828
1974-07-31,0.0045727555830747755,0.002891560520893798,2.8915605208937984e-06,0.004569864022553881,0.06336109335120328,0.08981168488878988,0.17262732002483167,0.39330759906631346,0.218575272133526,0.062317030535335736
1974-08-31,0.005188411446511862,0.0024659796412213157,2.4659796412213157e-06,0.00518594546687064,0.06369973769021595,0.09073232741790198,0.17123799384761634,0.3922309456023074,0.21901708186691263,0.06308191357504563
1974-09-30,0.001562353394807675,0.0014124051973459228,1.4124051973459229e-06,0.0015609409896103293,0.06309042026724349,0.09116649459167858,0.17130937247975841,0.3931378049937347,0.21823284666224776,0.06306306100533704
1974-10-31,-0.021241492583851992,0.005529994765008005,5.529994765008005e-06,-0.021247022578617,0.0620544978492773,0.09352352870707178,0.17272294977250055,0.39017778625123267,0.21669879305770798,0.06482244436220973
1974-11-30,-0.010120604129756374,0.02690199968206034,2.6901999682060343e-05,-0.010147506129438435,0.06877725597524928,0.08889237001186909,0.1504521087856429,0.3951047399784149,0.22972611526307782,0.06704740998574604
1974-12-31,0.0009435439761767564,0.005893871891700389,5.89387189170039e-06,0.000937650104285056,0.06862812339003187,0.08974019064305806,0.15058253461323778,0.3893600006719319,0.23280516171159232,0.06888398897014805
1975-01-31,0.019369920684823433,0.0021996202860723665,2.1996202860723664e-06,0.01936772106453736,0.06854810451075792,0.0891129419271974,0.15252067266515956,0.38874114584372643,0.23193166384886008,0.0691454712042987
1975-02-28,-0.0041473491488875506,0.02111983045628469,2.1119830456284688e-05,-0.004168468979343835,0.06486508882959666,0.08340104213528775,0.14079575768194566,0.39712956853721965,0.2425579694280803,0.07125057338786982
1975-03-31,0.008640812283984015,0.0030413292207484635,3.041329220748464e-06,0.008637770954763266,0.06522393169969698,0.0839948679872268,0.1377544284611972,0.39819463937067734,0.24345129084186334,0.07138084163933818
1975-04-30,0.0038980083306826667,0.0016058570654602783,1.6058570654602783e-06,0.0038964024736172064,0.06520251814338555,0.083541362858346,0.1370433337198409,0.39777479573176566,0.2445480955706649,0.07188989397599697
1975-05-31,-0.005942974300096174,0.001105826667385762,1.105826667385762e-06,-0.00594408012676356,0.06500361595200044,0.08370769438816322,0.13673831597414404,0.39717288900146186,0.24546615735213947,0.07191132733209092
1975-06-30,-0.001966621319438316,0.002913386209402874,2.913386209402874e-06,-0.001969534705647719,0.06558953951823428,0.0845655650151903,0.1343198386598587,0.39667798010634436,0.24675428495180152,0.07209279174857086
1975-07-31,0.0059951453467702925,0.0052243379276530055,5.224337927653006e-06,0.00598992100884264,0.0670309318108549,0.08638092295523359,0.13431546230538474,0.3916359694912879,0.2465763339936789,0.07406037944355996
1975-08-31,-0.0037456574774957898,0.0009594175868430158,9.594175868430158e-07,-0.003746616895082633,0.06703013752533528,0.08583662347428173,0.13448545478972754,0.3922914028748695,0.2461620101733073,0.07419437116247853
1975-09-30,0.0015199689302120688,0.002508985569383622,2.508985569383622e-06,0.0015174599446426851,0.06683716600219274,0.08556206626594694,0.13377286542396127,0.39480038844425325,0.244954052748688,0.0740734611149579
1975-10-31,0.0038290916850732062,0.0002795403200275756,2.7954032002757566e-07,0.0038288121447531786,0.06672508684653324,0.08560735320805017,0.13362177811112866,0.3947840145927177,0.24504997254743452,0.07421179469413566
