,observations,annualized_geometric_return,annualized_volatility,sharpe_ratio,max_drawdown,period_VaR_95_loss,period_ES_95_loss,period_VaR_99_loss,period_ES_99_loss,skewness,excess_kurtosis
Mkt-RF,756.0,0.06168691809528082,0.15460467214413795,0.3989977614503791,-0.5575082231927492,0.072075,0.10018947368421054,0.11345500000000035,0.14895,-0.4919238247893608,1.7250036686795696
SMB,756.0,0.017069474462139578,0.1047259951087048,0.1629917619252182,-0.5647324403398248,0.0432,0.05860512820512822,0.06829500000000005,0.08742499999999999,0.358410268010342,3.059547068814015
HML,756.0,0.03097553591239821,0.10282532397570919,0.30124423356755653,-0.5778636224167859,0.04095,0.06185526315789473,0.07821500000000003,0.0969875,0.09071553549074919,2.1772490933442796
RMW,756.0,0.025946639244941228,0.07805770295117366,0.33240331529062883,-0.41775163976668384,0.028975,0.04849473684210527,0.054700000000000276,0.089775,-0.38046610174988743,10.574135870460882
CMA,756.0,0.027243532269567883,0.07178023475396982,0.3795408633441558,-0.2721424977783842,0.027674999999999998,0.04010263157894737,0.04935000000000023,0.061787499999999995,0.26844071527520497,1.3403503234216778
Mom,756.0,0.06544282410453905,0.14462368073496223,0.4525042079690238,-0.5784912380604276,0.065075,0.10207631578947368,0.11728500000000006,0.17888749999999998,-1.3009769985469797,9.787928874531111
